term,strongs,book,chapter,verse,lxx_word,case,number
λόγος,G3056,2Sa,19,44,λόγον,Accusative,Singular
λόγος,G3056,2Sa,20,17,λόγους,Accusative,Plural
λόγος,G3056,2Sa,20,18,λόγον,Accusative,Singular
λόγος,G3056,2Sa,20,21,λόγος,Nominative,Singular
λόγος,G3056,2Sa,22,1,λόγους,Accusative,Plural
λόγος,G3056,2Sa,23,1,λόγοι,Nominative,Plural
λόγος,G3056,2Sa,23,2,λόγος,Nominative,Singular
λόγος,G3056,2Sa,24,3,λόγῳ,Dative,Singular
λόγος,G3056,2Sa,24,4,λόγος,Nominative,Singular
λόγος,G3056,2Sa,24,11,λόγος,Nominative,Singular
λόγος,G3056,2Sa,24,19,λόγον,Accusative,Singular
λόγος,G3056,1Ki,1,7,λόγοι,Nominative,Plural
λόγος,G3056,1Ki,1,14,λόγους,Accusative,Plural
λόγος,G3056,1Ki,2,4,λόγον,Accusative,Singular
λόγος,G3056,1Ki,2,14,λόγος,Nominative,Singular
λόγος,G3056,1Ki,2,23,λόγον,Accusative,Singular
λόγος,G3056,1Ki,5,1,λόγον,Accusative,Singular
λόγος,G3056,1Ki,5,21,λόγων,Genitive,Plural
λόγος,G3056,1Ki,6,1,λόγον,Accusative,Singular
λόγος,G3056,1Ki,8,56,λόγος,Nominative,Singular
λόγος,G3056,1Ki,8,56,λόγοις,Dative,Plural
λόγος,G3056,1Ki,8,59,λόγοι,Nominative,Plural
λόγος,G3056,1Ki,10,3,λόγους,Accusative,Plural
λόγος,G3056,1Ki,10,3,λόγος,Nominative,Singular
λόγος,G3056,1Ki,10,6,λόγος,Nominative,Singular
λόγος,G3056,1Ki,10,6,λόγου,Genitive,Singular
λόγος,G3056,1Ki,11,10,λόγου,Genitive,Singular
λόγος,G3056,1Ki,12,6,λόγον,Accusative,Singular
λόγος,G3056,1Ki,12,7,λόγους,Accusative,Plural
λόγος,G3056,1Ki,12,22,λόγος,Nominative,Singular
λόγος,G3056,1Ki,12,24,λόγου,Genitive,Singular
λόγος,G3056,1Ki,12,24,λόγος,Nominative,Singular
λόγος,G3056,1Ki,12,24,λόγου,Genitive,Singular
λόγος,G3056,1Ki,12,30,λόγος,Nominative,Singular
λόγος,G3056,1Ki,13,1,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,13,2,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,13,4,λόγων,Genitive,Plural
λόγος,G3056,1Ki,13,5,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,13,9,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,13,11,λόγους,Accusative,Plural
λόγος,G3056,1Ki,13,17,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,13,20,λόγος,Nominative,Singular
λόγος,G3056,1Ki,13,32,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,14,29,λόγων,Genitive,Plural
λόγος,G3056,1Ki,14,29,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,7,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,7,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,23,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,23,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,31,λόγων,Genitive,Plural
λόγος,G3056,1Ki,15,31,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,1,λόγος,Nominative,Singular
λόγος,G3056,1Ki,16,5,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,5,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,14,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,14,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,20,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,20,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,27,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,27,λόγων,Genitive,Plural
λόγος,G3056,1Ki,16,28,λόγων,Genitive,Plural
λόγος,G3056,1Ki,17,1,λόγου,Genitive,Singular
λόγος,G3056,1Ki,18,21,λόγον,Accusative,Singular
λόγος,G3056,1Ki,20,27,λόγου,Genitive,Singular
λόγος,G3056,1Ki,21,9,λόγον,Accusative,Singular
λόγος,G3056,1Ki,21,12,λόγον,Accusative,Singular
λόγος,G3056,1Ki,21,33,λόγον,Accusative,Singular
λόγος,G3056,1Ki,21,35,λόγῳ,Dative,Singular
λόγος,G3056,1Ki,22,13,λόγους,Accusative,Plural
λόγος,G3056,1Ki,22,13,λόγους,Accusative,Plural
λόγος,G3056,1Ki,22,39,λόγων,Genitive,Plural
λόγος,G3056,1Ki,22,39,λόγων,Genitive,Plural
λόγος,G3056,1Ki,22,46,λόγων,Genitive,Plural
λόγος,G3056,1Ki,22,46,λόγων,Genitive,Plural
λόγος,G3056,2Ki,1,7,λόγους,Accusative,Plural
λόγος,G3056,2Ki,1,18,λόγων,Genitive,Plural
λόγος,G3056,2Ki,1,18,λόγων,Genitive,Plural
λόγος,G3056,2Ki,4,13,λόγος,Nominative,Singular
λόγος,G3056,2Ki,5,13,λόγον,Accusative,Singular
λόγος,G3056,2Ki,5,18,λόγῳ,Dative,Singular
λόγος,G3056,2Ki,6,11,λόγου,Genitive,Singular
λόγος,G3056,2Ki,6,12,λόγους,Accusative,Plural
λόγος,G3056,2Ki,6,30,λόγους,Accusative,Plural
λόγος,G3056,2Ki,7,1,λόγον,Accusative,Singular
λόγος,G3056,2Ki,8,23,λόγων,Genitive,Plural
λόγος,G3056,2Ki,8,23,λόγων,Genitive,Plural
λόγος,G3056,2Ki,9,5,λόγος,Nominative,Singular
λόγος,G3056,2Ki,9,36,λόγος,Nominative,Singular
λόγος,G3056,2Ki,10,34,λόγων,Genitive,Plural
λόγος,G3056,2Ki,10,34,λόγων,Genitive,Plural
λόγος,G3056,2Ki,11,5,λόγος,Nominative,Singular
λόγος,G3056,2Ki,12,20,λόγων,Genitive,Plural
λόγος,G3056,2Ki,12,20,λόγων,Genitive,Plural
λόγος,G3056,2Ki,13,8,λόγων,Genitive,Plural
λόγος,G3056,2Ki,13,8,λόγων,Genitive,Plural
λόγος,G3056,2Ki,13,12,λόγων,Genitive,Plural
λόγος,G3056,2Ki,13,12,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,15,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,15,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,18,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,18,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,28,λόγων,Genitive,Plural
λόγος,G3056,2Ki,14,28,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,6,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,6,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,11,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,11,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,12,λόγος,Nominative,Singular
λόγος,G3056,2Ki,15,15,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,15,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,21,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,21,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,26,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,26,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,31,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,31,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,36,λόγων,Genitive,Plural
λόγος,G3056,2Ki,15,36,λόγων,Genitive,Plural
λόγος,G3056,2Ki,16,19,λόγων,Genitive,Plural
λόγος,G3056,2Ki,16,19,λόγων,Genitive,Plural
λόγος,G3056,2Ki,17,9,λόγους,Accusative,Plural
λόγος,G3056,2Ki,18,20,λόγοι,Nominative,Plural
λόγος,G3056,2Ki,18,27,λόγους,Accusative,Plural
λόγος,G3056,2Ki,18,28,λόγους,Accusative,Plural
λόγος,G3056,2Ki,18,29,λόγοις,Dative,Plural
λόγος,G3056,2Ki,18,36,λόγον,Accusative,Singular
λόγος,G3056,2Ki,18,37,λόγους,Accusative,Plural
λόγος,G3056,2Ki,19,4,λόγους,Accusative,Plural
λόγος,G3056,2Ki,19,4,λόγοις,Dative,Plural
λόγος,G3056,2Ki,19,6,λόγων,Genitive,Plural
λόγος,G3056,2Ki,19,16,λόγους,Accusative,Plural
λόγος,G3056,2Ki,19,21,λόγος,Nominative,Singular
λόγος,G3056,2Ki,20,9,λόγον,Accusative,Singular
λόγος,G3056,2Ki,20,13,λόγος,Nominative,Singular
λόγος,G3056,2Ki,20,16,λόγον,Accusative,Singular
λόγος,G3056,2Ki,20,19,λόγος,Nominative,Singular
λόγος,G3056,2Ki,20,20,λόγων,Genitive,Plural
λόγος,G3056,2Ki,20,20,λόγων,Genitive,Plural
λόγος,G3056,2Ki,21,17,λόγων,Genitive,Plural
λόγος,G3056,2Ki,21,17,λόγων,Genitive,Plural
λόγος,G3056,2Ki,21,25,λόγων,Genitive,Plural
λόγος,G3056,2Ki,21,25,λόγων,Genitive,Plural
λόγος,G3056,2Ki,22,11,λόγους,Accusative,Plural
λόγος,G3056,2Ki,22,13,λόγων,Genitive,Plural
λόγος,G3056,2Ki,22,13,λόγων,Genitive,Plural
λόγος,G3056,2Ki,22,16,λόγους,Accusative,Plural
λόγος,G3056,2Ki,22,18,λόγοι,Nominative,Plural
λόγος,G3056,2Ki,23,2,λόγους,Accusative,Plural
λόγος,G3056,2Ki,23,3,λόγους,Accusative,Plural
λόγος,G3056,2Ki,23,16,λόγους,Accusative,Plural
λόγος,G3056,2Ki,23,17,λόγους,Accusative,Plural
λόγος,G3056,2Ki,23,24,λόγους,Accusative,Plural
λόγος,G3056,2Ki,23,28,λόγων,Genitive,Plural
λόγος,G3056,2Ki,23,28,λόγων,Genitive,Plural
